Created as New Dataset,Sample 033 By Administrator Date Monday, February 10 2020
cm-1,A
6000.00,1.1555
5999.00,1.1554
5998.00,1.1553
5997.00,1.1552
5996.00,1.1553
5995.00,1.1553
5994.00,1.1553
5993.00,1.1552
5992.00,1.1551
5991.00,1.1550
5990.00,1.1548
5989.00,1.1547
5988.00,1.1547
5987.00,1.1547
5986.00,1.1547
5985.00,1.1548
5984.00,1.1549
5983.00,1.1550
5982.00,1.1550
5981.00,1.1550
5980.00,1.1550
5979.00,1.1549
5978.00,1.1549
5977.00,1.1548
5976.00,1.1547
5975.00,1.1547
5974.00,1.1548
5973.00,1.1550
5972.00,1.1551
5971.00,1.1551
5970.00,1.1552
5969.00,1.1551
5968.00,1.1551
5967.00,1.1550
5966.00,1.1548
5965.00,1.1547
5964.00,1.1545
5963.00,1.1544
5962.00,1.1543
5961.00,1.1543
5960.00,1.1543
5959.00,1.1543
5958.00,1.1543
5957.00,1.1542
5956.00,1.1542
5955.00,1.1542
5954.00,1.1541
5953.00,1.1541
5952.00,1.1543
5951.00,1.1544
5950.00,1.1545
5949.00,1.1544
5948.00,1.1544
5947.00,1.1544
5946.00,1.1544
5945.00,1.1544
5944.00,1.1543
5943.00,1.1543
5942.00,1.1543
5941.00,1.1543
5940.00,1.1543
5939.00,1.1543
5938.00,1.1543
5937.00,1.1543
5936.00,1.1543
5935.00,1.1544
5934.00,1.1545
5933.00,1.1545
5932.00,1.1544
5931.00,1.1544
5930.00,1.1543
5929.00,1.1543
5928.00,1.1543
5927.00,1.1543
5926.00,1.1544
5925.00,1.1544
5924.00,1.1543
5923.00,1.1542
5922.00,1.1540
5921.00,1.1538
5920.00,1.1538
5919.00,1.1538
5918.00,1.1539
5917.00,1.1541
5916.00,1.1542
5915.00,1.1544
5914.00,1.1544
5913.00,1.1544
5912.00,1.1544
5911.00,1.1543
5910.00,1.1542
5909.00,1.1541
5908.00,1.1541
5907.00,1.1541
5906.00,1.1540
5905.00,1.1540
5904.00,1.1541
5903.00,1.1542
5902.00,1.1542
5901.00,1.1541
5900.00,1.1541
5899.00,1.1541
5898.00,1.1541
5897.00,1.1541
5896.00,1.1540
5895.00,1.1540
5894.00,1.1540
5893.00,1.1539
5892.00,1.1539
5891.00,1.1539
5890.00,1.1539
5889.00,1.1539
5888.00,1.1539
5887.00,1.1539
5886.00,1.1537
5885.00,1.1536
5884.00,1.1535
5883.00,1.1535
5882.00,1.1535
5881.00,1.1536
5880.00,1.1536
5879.00,1.1537
5878.00,1.1537
5877.00,1.1536
5876.00,1.1534
5875.00,1.1534
5874.00,1.1533
5873.00,1.1534
5872.00,1.1534
5871.00,1.1535
5870.00,1.1535
5869.00,1.1534
5868.00,1.1533
5867.00,1.1532
5866.00,1.1531
5865.00,1.1531
5864.00,1.1532
5863.00,1.1534
5862.00,1.1535
5861.00,1.1535
5860.00,1.1535
5859.00,1.1534
5858.00,1.1534
5857.00,1.1532
5856.00,1.1531
5855.00,1.1530
5854.00,1.1529
5853.00,1.1528
5852.00,1.1528
5851.00,1.1529
5850.00,1.1530
5849.00,1.1531
5848.00,1.1532
5847.00,1.1532
5846.00,1.1531
5845.00,1.1531
5844.00,1.1531
5843.00,1.1532
5842.00,1.1532
5841.00,1.1533
5840.00,1.1533
5839.00,1.1533
5838.00,1.1532
5837.00,1.1531
5836.00,1.1529
5835.00,1.1529
5834.00,1.1530
5833.00,1.1530
5832.00,1.1531
5831.00,1.1532
5830.00,1.1532
5829.00,1.1533
5828.00,1.1533
5827.00,1.1534
5826.00,1.1535
5825.00,1.1535
5824.00,1.1535
5823.00,1.1536
5822.00,1.1536
5821.00,1.1536
5820.00,1.1536
5819.00,1.1536
5818.00,1.1535
5817.00,1.1534
5816.00,1.1534
5815.00,1.1533
5814.00,1.1532
5813.00,1.1532
5812.00,1.1532
5811.00,1.1533
5810.00,1.1534
5809.00,1.1534
5808.00,1.1535
5807.00,1.1536
5806.00,1.1537
5805.00,1.1536
5804.00,1.1535
5803.00,1.1535
5802.00,1.1534
5801.00,1.1533
5800.00,1.1533
5799.00,1.1533
5798.00,1.1533
5797.00,1.1533
5796.00,1.1533
5795.00,1.1533
5794.00,1.1533
5793.00,1.1533
5792.00,1.1533
5791.00,1.1533
5790.00,1.1533
5789.00,1.1533
5788.00,1.1533
5787.00,1.1533
5786.00,1.1533
5785.00,1.1534
5784.00,1.1534
5783.00,1.1534
5782.00,1.1534
5781.00,1.1533
5780.00,1.1534
5779.00,1.1534
5778.00,1.1534
5777.00,1.1533
5776.00,1.1533
5775.00,1.1533
5774.00,1.1533
5773.00,1.1533
5772.00,1.1533
5771.00,1.1533
5770.00,1.1533
5769.00,1.1532
5768.00,1.1531
5767.00,1.1529
5766.00,1.1528
5765.00,1.1527
5764.00,1.1527
5763.00,1.1527
5762.00,1.1527
5761.00,1.1527
5760.00,1.1527
5759.00,1.1527
5758.00,1.1527
5757.00,1.1527
