Created as New Dataset,Sample 031 By Administrator Date Monday, February 10 2020
cm-1,A
5684.00,1.1387
5683.00,1.1387
5682.00,1.1387
5681.00,1.1386
5680.00,1.1386
5679.00,1.1386
5678.00,1.1386
5677.00,1.1386
5676.00,1.1386
5675.00,1.1385
5674.00,1.1384
5673.00,1.1383
5672.00,1.1383
5671.00,1.1383
5670.00,1.1384
5669.00,1.1385
5668.00,1.1387
5667.00,1.1388
5666.00,1.1388
5665.00,1.1387
5664.00,1.1386
5663.00,1.1385
5662.00,1.1384
5661.00,1.1384
5660.00,1.1383
5659.00,1.1384
5658.00,1.1384
5657.00,1.1383
5656.00,1.1384
5655.00,1.1384
5654.00,1.1384
5653.00,1.1385
5652.00,1.1385
5651.00,1.1386
5650.00,1.1387
5649.00,1.1387
5648.00,1.1388
5647.00,1.1388
5646.00,1.1388
5645.00,1.1388
5644.00,1.1387
5643.00,1.1387
5642.00,1.1386
5641.00,1.1385
5640.00,1.1385
5639.00,1.1385
5638.00,1.1385
5637.00,1.1385
5636.00,1.1385
5635.00,1.1386
5634.00,1.1386
5633.00,1.1385
5632.00,1.1385
5631.00,1.1385
5630.00,1.1384
5629.00,1.1383
5628.00,1.1382
5627.00,1.1382
5626.00,1.1382
5625.00,1.1383
5624.00,1.1383
5623.00,1.1384
5622.00,1.1384
5621.00,1.1384
5620.00,1.1384
5619.00,1.1384
5618.00,1.1384
5617.00,1.1383
5616.00,1.1382
5615.00,1.1382
5614.00,1.1382
5613.00,1.1382
5612.00,1.1381
5611.00,1.1382
5610.00,1.1382
5609.00,1.1382
5608.00,1.1382
5607.00,1.1383
5606.00,1.1384
5605.00,1.1384
5604.00,1.1384
5603.00,1.1384
5602.00,1.1383
5601.00,1.1383
5600.00,1.1382
5599.00,1.1382
5598.00,1.1382
5597.00,1.1382
5596.00,1.1383
5595.00,1.1383
5594.00,1.1383
5593.00,1.1383
5592.00,1.1382
5591.00,1.1382
5590.00,1.1381
5589.00,1.1381
5588.00,1.1381
5587.00,1.1382
5586.00,1.1382
5585.00,1.1382
5584.00,1.1382
5583.00,1.1382
5582.00,1.1382
5581.00,1.1381
5580.00,1.1381
5579.00,1.1382
5578.00,1.1382
5577.00,1.1382
5576.00,1.1381
5575.00,1.1381
5574.00,1.1381
5573.00,1.1381
5572.00,1.1381
5571.00,1.1380
5570.00,1.1380
5569.00,1.1379
5568.00,1.1378
5567.00,1.1379
5566.00,1.1379
5565.00,1.1379
5564.00,1.1380
5563.00,1.1380
5562.00,1.1380
5561.00,1.1381
5560.00,1.1381
5559.00,1.1382
5558.00,1.1382
5557.00,1.1382
5556.00,1.1381
5555.00,1.1381
5554.00,1.1380
5553.00,1.1379
5552.00,1.1378
5551.00,1.1377
5550.00,1.1377
5549.00,1.1377
5548.00,1.1377
5547.00,1.1378
5546.00,1.1379
5545.00,1.1379
5544.00,1.1379
5543.00,1.1379
5542.00,1.1379
5541.00,1.1379
5540.00,1.1380
5539.00,1.1380
5538.00,1.1380
5537.00,1.1380
5536.00,1.1380
5535.00,1.1380
5534.00,1.1381
5533.00,1.1381
5532.00,1.1381
5531.00,1.1380
5530.00,1.1379
5529.00,1.1378
5528.00,1.1378
5527.00,1.1378
5526.00,1.1379
5525.00,1.1379
5524.00,1.1379
5523.00,1.1379
5522.00,1.1379
5521.00,1.1379
5520.00,1.1380
5519.00,1.1380
5518.00,1.1380
5517.00,1.1379
5516.00,1.1378
5515.00,1.1378
5514.00,1.1377
5513.00,1.1376
5512.00,1.1376
5511.00,1.1377
5510.00,1.1378
5509.00,1.1378
5508.00,1.1378
5507.00,1.1378
5506.00,1.1378
5505.00,1.1377
5504.00,1.1376
5503.00,1.1376
5502.00,1.1376
5501.00,1.1375
5500.00,1.1375
5499.00,1.1375
5498.00,1.1375
5497.00,1.1376
5496.00,1.1376
5495.00,1.1376
5494.00,1.1375
5493.00,1.1375
5492.00,1.1375
5491.00,1.1375
5490.00,1.1375
5489.00,1.1375
5488.00,1.1376
5487.00,1.1376
5486.00,1.1376
5485.00,1.1376
5484.00,1.1375
5483.00,1.1374
5482.00,1.1374
5481.00,1.1373
5480.00,1.1373
5479.00,1.1374
5478.00,1.1374
5477.00,1.1373
5476.00,1.1372
5475.00,1.1372
5474.00,1.1372
5473.00,1.1372
5472.00,1.1372
5471.00,1.1372
5470.00,1.1372
5469.00,1.1372
5468.00,1.1372
5467.00,1.1372
5466.00,1.1372
5465.00,1.1372
5464.00,1.1372
5463.00,1.1372
5462.00,1.1372
5461.00,1.1372
5460.00,1.1372
5459.00,1.1373
5458.00,1.1373
5457.00,1.1372
5456.00,1.1372
5455.00,1.1372
5454.00,1.1372
5453.00,1.1371
5452.00,1.1371
5451.00,1.1371
5450.00,1.1371
5449.00,1.1372
5448.00,1.1372
5447.00,1.1372
5446.00,1.1371
5445.00,1.1371
5444.00,1.1372
5443.00,1.1372
5442.00,1.1371
5441.00,1.1370
5440.00,1.1371
5439.00,1.1372
5438.00,1.1373
5437.00,1.1373
5436.00,1.1373
5435.00,1.1373
5434.00,1.1373
5433.00,1.1374
5432.00,1.1374
5431.00,1.1373
5430.00,1.1372
5429.00,1.1371
5428.00,1.1372
5427.00,1.1372
5426.00,1.1372
5425.00,1.1371
5424.00,1.1371
5423.00,1.1372
5422.00,1.1373
5421.00,1.1373
5420.00,1.1373
5419.00,1.1373
5418.00,1.1373
5417.00,1.1373
5416.00,1.1373
5415.00,1.1372
5414.00,1.1371
5413.00,1.1371
5412.00,1.1371
5411.00,1.1370
5410.00,1.1368
5409.00,1.1368
5408.00,1.1368
5407.00,1.1369
5406.00,1.1368
5405.00,1.1368
5404.00,1.1368
5403.00,1.1369
5402.00,1.1369
5401.00,1.1370
5400.00,1.1370
5399.00,1.1371
5398.00,1.1372
5397.00,1.1372
5396.00,1.1372
5395.00,1.1370
5394.00,1.1369
5393.00,1.1367
5392.00,1.1367
5391.00,1.1368
5390.00,1.1368
5389.00,1.1369
5388.00,1.1370
5387.00,1.1371
5386.00,1.1371
5385.00,1.1370
5384.00,1.1369
5383.00,1.1368
5382.00,1.1367
5381.00,1.1367
5380.00,1.1367
5379.00,1.1367
5378.00,1.1367
5377.00,1.1367
5376.00,1.1368
5375.00,1.1369
5374.00,1.1369
5373.00,1.1369
5372.00,1.1369
5371.00,1.1369
5370.00,1.1369
5369.00,1.1369
5368.00,1.1369
5367.00,1.1369
5366.00,1.1369
5365.00,1.1369
5364.00,1.1368
5363.00,1.1369
5362.00,1.1369
5361.00,1.1369
5360.00,1.1369
5359.00,1.1369
5358.00,1.1369
5357.00,1.1369
5356.00,1.1369
5355.00,1.1369
5354.00,1.1369
5353.00,1.1369
5352.00,1.1370
5351.00,1.1369
5350.00,1.1369
5349.00,1.1369
5348.00,1.1369
5347.00,1.1369
5346.00,1.1369
5345.00,1.1368
5344.00,1.1368
5343.00,1.1369
5342.00,1.1370
5341.00,1.1370
5340.00,1.1369
5339.00,1.1369
5338.00,1.1369
5337.00,1.1370
5336.00,1.1370
5335.00,1.1370
5334.00,1.1370
5333.00,1.1370
5332.00,1.1371
5331.00,1.1372
5330.00,1.1372
5329.00,1.1371
5328.00,1.1370
5327.00,1.1370
5326.00,1.1371
5325.00,1.1371
5324.00,1.1372
5323.00,1.1372
5322.00,1.1372
5321.00,1.1372
5320.00,1.1371
5319.00,1.1371
5318.00,1.1370
5317.00,1.1370
5316.00,1.1371
5315.00,1.1372
5314.00,1.1372
5313.00,1.1372
5312.00,1.1372
5311.00,1.1372
5310.00,1.1372
5309.00,1.1371
5308.00,1.1371
5307.00,1.1372
5306.00,1.1373
5305.00,1.1373
5304.00,1.1373
5303.00,1.1374
5302.00,1.1375
5301.00,1.1375
5300.00,1.1375
5299.00,1.1376
5298.00,1.1376
5297.00,1.1375
5296.00,1.1375
5295.00,1.1375
5294.00,1.1375
5293.00,1.1376
5292.00,1.1375
5291.00,1.1375
5290.00,1.1375
5289.00,1.1376
5288.00,1.1376
5287.00,1.1377
5286.00,1.1377
5285.00,1.1377
5284.00,1.1378
5283.00,1.1378
5282.00,1.1378
5281.00,1.1378
5280.00,1.1378
5279.00,1.1378
5278.00,1.1379
5277.00,1.1379
5276.00,1.1379
5275.00,1.1379
5274.00,1.1379
5273.00,1.1379
5272.00,1.1379
5271.00,1.1379
5270.00,1.1379
5269.00,1.1379
5268.00,1.1380
5267.00,1.1381
5266.00,1.1381
5265.00,1.1382
5264.00,1.1382
5263.00,1.1383
5262.00,1.1384
5261.00,1.1384
5260.00,1.1383
5259.00,1.1384
5258.00,1.1385
5257.00,1.1385
5256.00,1.1385
5255.00,1.1386
5254.00,1.1386
5253.00,1.1387
5252.00,1.1388
5251.00,1.1389
5250.00,1.1389
5249.00,1.1389
5248.00,1.1389
5247.00,1.1390
5246.00,1.1389
5245.00,1.1389
5244.00,1.1389
5243.00,1.1390
5242.00,1.1392
5241.00,1.1393
5240.00,1.1394
5239.00,1.1395
5238.00,1.1395
5237.00,1.1396
5236.00,1.1396
5235.00,1.1396
5234.00,1.1396
5233.00,1.1396
5232.00,1.1395
5231.00,1.1396
5230.00,1.1396
5229.00,1.1397
5228.00,1.1398
5227.00,1.1399
5226.00,1.1399
5225.00,1.1400
5224.00,1.1401
5223.00,1.1402
5222.00,1.1402
5221.00,1.1403
5220.00,1.1403
5219.00,1.1404
5218.00,1.1405
5217.00,1.1405
5216.00,1.1406
5215.00,1.1407
5214.00,1.1408
5213.00,1.1409
5212.00,1.1410
5211.00,1.1410
5210.00,1.1410
5209.00,1.1410
5208.00,1.1409
5207.00,1.1410
5206.00,1.1410
5205.00,1.1411
5204.00,1.1412
5203.00,1.1412
5202.00,1.1413
5201.00,1.1414
5200.00,1.1416
5199.00,1.1417
5198.00,1.1417
5197.00,1.1418
5196.00,1.1418
5195.00,1.1419
5194.00,1.1419
5193.00,1.1419
5192.00,1.1419
5191.00,1.1420
5190.00,1.1420
5189.00,1.1421
5188.00,1.1422
5187.00,1.1423
5186.00,1.1424
5185.00,1.1424
5184.00,1.1425
5183.00,1.1426
5182.00,1.1426
5181.00,1.1426
5180.00,1.1426
5179.00,1.1427
5178.00,1.1427
5177.00,1.1428
5176.00,1.1429
5175.00,1.1430
5174.00,1.1430
5173.00,1.1431
5172.00,1.1431
5171.00,1.1431
5170.00,1.1431
5169.00,1.1431
5168.00,1.1432
5167.00,1.1433
5166.00,1.1434
5165.00,1.1435
5164.00,1.1436
5163.00,1.1437
5162.00,1.1438
5161.00,1.1438
5160.00,1.1439
5159.00,1.1439
5158.00,1.1439
5157.00,1.1440
5156.00,1.1441
5155.00,1.1441
5154.00,1.1442
5153.00,1.1442
5152.00,1.1442
5151.00,1.1442
5150.00,1.1443
5149.00,1.1443
5148.00,1.1444
5147.00,1.1445
5146.00,1.1446
5145.00,1.1446
5144.00,1.1447
5143.00,1.1447
5142.00,1.1447
5141.00,1.1448
5140.00,1.1448
5139.00,1.1449
5138.00,1.1449
5137.00,1.1450
5136.00,1.1450
5135.00,1.1450
5134.00,1.1451
5133.00,1.1451
5132.00,1.1451
5131.00,1.1451
5130.00,1.1451
5129.00,1.1451
5128.00,1.1452
5127.00,1.1453
5126.00,1.1453
5125.00,1.1453
5124.00,1.1454
5123.00,1.1454
5122.00,1.1454
5121.00,1.1455
5120.00,1.1455
5119.00,1.1455
5118.00,1.1455
5117.00,1.1455
5116.00,1.1455
5115.00,1.1455
5114.00,1.1456
5113.00,1.1456
5112.00,1.1456
5111.00,1.1457
5110.00,1.1456
5109.00,1.1456
5108.00,1.1455
5107.00,1.1455
5106.00,1.1456
5105.00,1.1456
5104.00,1.1456
5103.00,1.1457
5102.00,1.1457
5101.00,1.1457
5100.00,1.1457
5099.00,1.1457
5098.00,1.1457
5097.00,1.1457
5096.00,1.1457
5095.00,1.1457
5094.00,1.1457
5093.00,1.1457
5092.00,1.1457
5091.00,1.1458
5090.00,1.1458
5089.00,1.1458
5088.00,1.1458
5087.00,1.1459
5086.00,1.1459
5085.00,1.1458
5084.00,1.1459
5083.00,1.1459
5082.00,1.1460
5081.00,1.1461
5080.00,1.1461
5079.00,1.1461
5078.00,1.1460
5077.00,1.1459
5076.00,1.1458
5075.00,1.1458
5074.00,1.1458
5073.00,1.1458
5072.00,1.1459
5071.00,1.1461
5070.00,1.1461
5069.00,1.1462
5068.00,1.1462
5067.00,1.1462
5066.00,1.1461
5065.00,1.1461
5064.00,1.1460
5063.00,1.1459
5062.00,1.1458
5061.00,1.1458
5060.00,1.1459
5059.00,1.1460
5058.00,1.1460
5057.00,1.1461
5056.00,1.1461
5055.00,1.1461
5054.00,1.1461
5053.00,1.1460
5052.00,1.1461
5051.00,1.1461
5050.00,1.1461
5049.00,1.1461
5048.00,1.1461
5047.00,1.1462
5046.00,1.1462
5045.00,1.1462
5044.00,1.1461
5043.00,1.1461
5042.00,1.1461
5041.00,1.1461
5040.00,1.1461
5039.00,1.1461
5038.00,1.1462
5037.00,1.1462
5036.00,1.1462
5035.00,1.1462
5034.00,1.1461
5033.00,1.1461
5032.00,1.1460
5031.00,1.1460
5030.00,1.1460
5029.00,1.1460
5028.00,1.1460
5027.00,1.1461
5026.00,1.1461
5025.00,1.1461
5024.00,1.1461
5023.00,1.1460
5022.00,1.1460
5021.00,1.1460
5020.00,1.1460
5019.00,1.1460
5018.00,1.1460
5017.00,1.1460
5016.00,1.1461
5015.00,1.1461
5014.00,1.1461
5013.00,1.1461
5012.00,1.1461
5011.00,1.1461
5010.00,1.1461
5009.00,1.1460
5008.00,1.1460
