Created as New Dataset,Sample 028 By Administrator Date Monday, February 10 2020
cm-1,A
5684.00,1.1930
5683.00,1.1930
5682.00,1.1930
5681.00,1.1929
5680.00,1.1928
5679.00,1.1927
5678.00,1.1925
5677.00,1.1924
5676.00,1.1923
5675.00,1.1924
5674.00,1.1924
5673.00,1.1925
5672.00,1.1926
5671.00,1.1927
5670.00,1.1927
5669.00,1.1928
5668.00,1.1927
5667.00,1.1926
5666.00,1.1925
5665.00,1.1923
5664.00,1.1921
5663.00,1.1921
5662.00,1.1920
5661.00,1.1920
5660.00,1.1920
5659.00,1.1920
5658.00,1.1920
5657.00,1.1920
5656.00,1.1920
5655.00,1.1920
5654.00,1.1921
5653.00,1.1921
5652.00,1.1921
5651.00,1.1923
5650.00,1.1924
5649.00,1.1925
5648.00,1.1924
5647.00,1.1924
5646.00,1.1922
5645.00,1.1920
5644.00,1.1918
5643.00,1.1917
5642.00,1.1918
5641.00,1.1919
5640.00,1.1921
5639.00,1.1922
5638.00,1.1922
5637.00,1.1922
5636.00,1.1921
5635.00,1.1920
5634.00,1.1919
5633.00,1.1919
5632.00,1.1919
5631.00,1.1919
5630.00,1.1919
5629.00,1.1919
5628.00,1.1919
5627.00,1.1918
5626.00,1.1917
5625.00,1.1917
5624.00,1.1917
5623.00,1.1917
5622.00,1.1918
5621.00,1.1918
5620.00,1.1919
5619.00,1.1918
5618.00,1.1918
5617.00,1.1917
5616.00,1.1916
5615.00,1.1916
5614.00,1.1916
5613.00,1.1916
5612.00,1.1916
5611.00,1.1916
5610.00,1.1915
5609.00,1.1915
5608.00,1.1914
5607.00,1.1913
5606.00,1.1913
5605.00,1.1912
5604.00,1.1911
5603.00,1.1911
5602.00,1.1912
5601.00,1.1912
5600.00,1.1913
5599.00,1.1913
5598.00,1.1913
5597.00,1.1912
5596.00,1.1911
5595.00,1.1910
5594.00,1.1910
5593.00,1.1909
5592.00,1.1908
5591.00,1.1908
5590.00,1.1908
5589.00,1.1907
5588.00,1.1907
5587.00,1.1907
5586.00,1.1907
5585.00,1.1906
5584.00,1.1906
5583.00,1.1906
5582.00,1.1906
5581.00,1.1906
5580.00,1.1906
5579.00,1.1906
5578.00,1.1906
5577.00,1.1905
5576.00,1.1904
5575.00,1.1904
5574.00,1.1903
5573.00,1.1903
5572.00,1.1904
5571.00,1.1904
5570.00,1.1904
5569.00,1.1903
5568.00,1.1903
5567.00,1.1902
5566.00,1.1902
5565.00,1.1902
5564.00,1.1902
5563.00,1.1902
5562.00,1.1902
5561.00,1.1901
5560.00,1.1901
5559.00,1.1901
5558.00,1.1902
5557.00,1.1902
5556.00,1.1903
5555.00,1.1903
5554.00,1.1902
5553.00,1.1900
5552.00,1.1899
5551.00,1.1898
5550.00,1.1898
5549.00,1.1899
5548.00,1.1900
5547.00,1.1901
5546.00,1.1901
5545.00,1.1901
5544.00,1.1900
5543.00,1.1900
5542.00,1.1899
5541.00,1.1899
5540.00,1.1898
5539.00,1.1898
5538.00,1.1898
5537.00,1.1897
5536.00,1.1897
5535.00,1.1896
5534.00,1.1896
5533.00,1.1896
5532.00,1.1895
5531.00,1.1895
5530.00,1.1895
5529.00,1.1895
5528.00,1.1895
5527.00,1.1895
5526.00,1.1896
5525.00,1.1896
5524.00,1.1895
5523.00,1.1894
5522.00,1.1893
5521.00,1.1892
5520.00,1.1891
5519.00,1.1892
5518.00,1.1892
5517.00,1.1891
5516.00,1.1891
5515.00,1.1891
5514.00,1.1890
5513.00,1.1891
5512.00,1.1892
5511.00,1.1892
5510.00,1.1892
5509.00,1.1892
5508.00,1.1892
5507.00,1.1891
5506.00,1.1890
5505.00,1.1889
5504.00,1.1889
5503.00,1.1888
5502.00,1.1888
5501.00,1.1886
5500.00,1.1885
5499.00,1.1884
5498.00,1.1883
5497.00,1.1883
5496.00,1.1884
5495.00,1.1885
5494.00,1.1886
5493.00,1.1886
5492.00,1.1887
5491.00,1.1887
5490.00,1.1886
5489.00,1.1886
5488.00,1.1885
5487.00,1.1884
5486.00,1.1884
5485.00,1.1884
5484.00,1.1884
5483.00,1.1884
5482.00,1.1883
5481.00,1.1882
5480.00,1.1881
5479.00,1.1881
5478.00,1.1881
5477.00,1.1881
5476.00,1.1881
5475.00,1.1881
5474.00,1.1881
5473.00,1.1880
5472.00,1.1879
5471.00,1.1878
5470.00,1.1876
5469.00,1.1875
5468.00,1.1874
5467.00,1.1874
5466.00,1.1874
5465.00,1.1873
5464.00,1.1873
5463.00,1.1874
5462.00,1.1874
5461.00,1.1874
5460.00,1.1874
5459.00,1.1875
5458.00,1.1875
5457.00,1.1875
5456.00,1.1874
5455.00,1.1873
5454.00,1.1872
5453.00,1.1872
5452.00,1.1872
5451.00,1.1872
5450.00,1.1872
5449.00,1.1873
5448.00,1.1873
5447.00,1.1872
5446.00,1.1871
5445.00,1.1870
5444.00,1.1869
5443.00,1.1870
5442.00,1.1870
5441.00,1.1869
5440.00,1.1870
5439.00,1.1870
5438.00,1.1871
5437.00,1.1870
5436.00,1.1869
5435.00,1.1867
5434.00,1.1866
5433.00,1.1866
5432.00,1.1866
5431.00,1.1866
5430.00,1.1866
5429.00,1.1867
5428.00,1.1868
5427.00,1.1870
5426.00,1.1870
5425.00,1.1870
5424.00,1.1870
5423.00,1.1871
5422.00,1.1871
5421.00,1.1871
5420.00,1.1870
5419.00,1.1870
5418.00,1.1870
5417.00,1.1868
5416.00,1.1866
5415.00,1.1864
5414.00,1.1862
5413.00,1.1860
5412.00,1.1860
5411.00,1.1860
5410.00,1.1860
5409.00,1.1861
5408.00,1.1863
5407.00,1.1863
5406.00,1.1863
5405.00,1.1863
5404.00,1.1862
5403.00,1.1862
5402.00,1.1862
5401.00,1.1863
5400.00,1.1863
5399.00,1.1862
5398.00,1.1861
5397.00,1.1860
5396.00,1.1860
5395.00,1.1860
5394.00,1.1860
5393.00,1.1861
5392.00,1.1861
5391.00,1.1861
5390.00,1.1860
5389.00,1.1859
5388.00,1.1859
5387.00,1.1858
5386.00,1.1858
5385.00,1.1858
5384.00,1.1858
5383.00,1.1858
5382.00,1.1857
5381.00,1.1856
5380.00,1.1856
5379.00,1.1856
5378.00,1.1856
5377.00,1.1856
5376.00,1.1856
5375.00,1.1856
5374.00,1.1856
5373.00,1.1856
5372.00,1.1856
5371.00,1.1856
5370.00,1.1857
5369.00,1.1856
5368.00,1.1856
5367.00,1.1856
5366.00,1.1856
5365.00,1.1856
5364.00,1.1855
5363.00,1.1855
5362.00,1.1855
5361.00,1.1854
5360.00,1.1853
5359.00,1.1853
5358.00,1.1853
5357.00,1.1853
5356.00,1.1854
5355.00,1.1854
5354.00,1.1853
5353.00,1.1853
5352.00,1.1852
5351.00,1.1852
5350.00,1.1851
5349.00,1.1851
5348.00,1.1851
5347.00,1.1852
