Created as New Dataset,Sample 036 By Administrator Date Monday, February 10 2020
cm-1,A
6000.00,1.0724
5999.00,1.0727
5998.00,1.0729
5997.00,1.0728
5996.00,1.0728
5995.00,1.0728
5994.00,1.0727
5993.00,1.0725
5992.00,1.0724
5991.00,1.0724
5990.00,1.0723
5989.00,1.0721
5988.00,1.0720
5987.00,1.0719
5986.00,1.0718
5985.00,1.0716
5984.00,1.0714
5983.00,1.0712
5982.00,1.0709
5981.00,1.0707
5980.00,1.0707
5979.00,1.0706
5978.00,1.0704
5977.00,1.0702
5976.00,1.0698
5975.00,1.0696
5974.00,1.0694
5973.00,1.0693
5972.00,1.0693
5971.00,1.0694
5970.00,1.0696
5969.00,1.0697
5968.00,1.0700
5967.00,1.0703
5966.00,1.0706
5965.00,1.0708
5964.00,1.0711
5963.00,1.0714
5962.00,1.0716
5961.00,1.0716
5960.00,1.0717
5959.00,1.0719
5958.00,1.0720
5957.00,1.0720
5956.00,1.0719
5955.00,1.0717
5954.00,1.0715
5953.00,1.0714
5952.00,1.0714
5951.00,1.0715
5950.00,1.0716
5949.00,1.0716
5948.00,1.0717
5947.00,1.0717
5946.00,1.0716
5945.00,1.0714
5944.00,1.0712
5943.00,1.0710
5942.00,1.0708
5941.00,1.0706
5940.00,1.0704
5939.00,1.0703
5938.00,1.0702
5937.00,1.0702
5936.00,1.0701
5935.00,1.0701
5934.00,1.0700
5933.00,1.0700
5932.00,1.0700
5931.00,1.0700
5930.00,1.0700
5929.00,1.0700
5928.00,1.0700
5927.00,1.0700
5926.00,1.0700
5925.00,1.0699
5924.00,1.0698
5923.00,1.0700
5922.00,1.0702
5921.00,1.0703
5920.00,1.0705
5919.00,1.0706
5918.00,1.0707
5917.00,1.0708
5916.00,1.0710
5915.00,1.0713
5914.00,1.0716
5913.00,1.0718
5912.00,1.0720
5911.00,1.0722
5910.00,1.0724
5909.00,1.0724
5908.00,1.0723
5907.00,1.0722
5906.00,1.0720
5905.00,1.0718
5904.00,1.0716
5903.00,1.0714
5902.00,1.0713
5901.00,1.0713
5900.00,1.0713
5899.00,1.0714
5898.00,1.0713
5897.00,1.0712
5896.00,1.0711
5895.00,1.0710
5894.00,1.0709
5893.00,1.0708
5892.00,1.0706
5891.00,1.0704
5890.00,1.0702
5889.00,1.0701
5888.00,1.0699
5887.00,1.0699
5886.00,1.0700
5885.00,1.0701
5884.00,1.0701
5883.00,1.0701
5882.00,1.0700
5881.00,1.0699
5880.00,1.0698
5879.00,1.0699
5878.00,1.0699
5877.00,1.0699
5876.00,1.0699
5875.00,1.0699
5874.00,1.0699
5873.00,1.0700
5872.00,1.0701
5871.00,1.0701
5870.00,1.0702
5869.00,1.0704
5868.00,1.0705
5867.00,1.0706
5866.00,1.0708
5865.00,1.0710
5864.00,1.0712
5863.00,1.0714
5862.00,1.0715
5861.00,1.0715
5860.00,1.0714
5859.00,1.0714
5858.00,1.0713
5857.00,1.0713
5856.00,1.0713
5855.00,1.0713
5854.00,1.0712
5853.00,1.0710
5852.00,1.0708
5851.00,1.0705
5850.00,1.0703
5849.00,1.0700
5848.00,1.0698
5847.00,1.0697
5846.00,1.0696
5845.00,1.0696
5844.00,1.0696
5843.00,1.0697
5842.00,1.0698
5841.00,1.0698
5840.00,1.0697
5839.00,1.0696
5838.00,1.0695
5837.00,1.0695
5836.00,1.0695
5835.00,1.0696
5834.00,1.0697
5833.00,1.0698
5832.00,1.0699
5831.00,1.0700
5830.00,1.0701
5829.00,1.0702
5828.00,1.0704
5827.00,1.0707
5826.00,1.0710
5825.00,1.0712
5824.00,1.0713
5823.00,1.0715
5822.00,1.0715
5821.00,1.0716
5820.00,1.0716
5819.00,1.0716
5818.00,1.0715
5817.00,1.0714
5816.00,1.0714
5815.00,1.0713
5814.00,1.0713
5813.00,1.0712
5812.00,1.0712
5811.00,1.0713
5810.00,1.0713
5809.00,1.0712
5808.00,1.0710
5807.00,1.0707
5806.00,1.0704
5805.00,1.0700
5804.00,1.0698
5803.00,1.0696
5802.00,1.0696
5801.00,1.0695
5800.00,1.0695
5799.00,1.0696
5798.00,1.0696
5797.00,1.0696
5796.00,1.0697
5795.00,1.0698
5794.00,1.0699
5793.00,1.0700
5792.00,1.0701
5791.00,1.0702
5790.00,1.0702
5789.00,1.0700
5788.00,1.0698
5787.00,1.0696
5786.00,1.0695
5785.00,1.0694
5784.00,1.0695
5783.00,1.0698
5782.00,1.0701
5781.00,1.0704
5780.00,1.0708
5779.00,1.0712
5778.00,1.0715
5777.00,1.0716
5776.00,1.0715
5775.00,1.0714
5774.00,1.0711
5773.00,1.0708
5772.00,1.0705
5771.00,1.0705
5770.00,1.0706
5769.00,1.0710
5768.00,1.0714
5767.00,1.0717
5766.00,1.0718
5765.00,1.0717
5764.00,1.0715
5763.00,1.0713
5762.00,1.0711
5761.00,1.0708
5760.00,1.0705
5759.00,1.0703
5758.00,1.0701
5757.00,1.0699
5756.00,1.0697
5755.00,1.0696
5754.00,1.0694
5753.00,1.0693
5752.00,1.0692
5751.00,1.0692
5750.00,1.0691
5749.00,1.0691
5748.00,1.0691
5747.00,1.0691
5746.00,1.0691
5745.00,1.0690
5744.00,1.0690
5743.00,1.0690
5742.00,1.0691
5741.00,1.0693
5740.00,1.0694
5739.00,1.0696
5738.00,1.0698
5737.00,1.0699
5736.00,1.0701
5735.00,1.0703
5734.00,1.0705
5733.00,1.0707
5732.00,1.0709
5731.00,1.0711
5730.00,1.0711
5729.00,1.0710
5728.00,1.0709
5727.00,1.0707
5726.00,1.0706
5725.00,1.0706
5724.00,1.0705
5723.00,1.0705
5722.00,1.0705
5721.00,1.0705
5720.00,1.0704
5719.00,1.0705
5718.00,1.0704
5717.00,1.0704
5716.00,1.0702
5715.00,1.0700
5714.00,1.0698
5713.00,1.0695
5712.00,1.0692
5711.00,1.0691
5710.00,1.0691
5709.00,1.0691
5708.00,1.0691
5707.00,1.0691
5706.00,1.0691
5705.00,1.0691
5704.00,1.0692
5703.00,1.0693
5702.00,1.0694
5701.00,1.0695
5700.00,1.0695
5699.00,1.0695
5698.00,1.0695
5697.00,1.0695
5696.00,1.0696
5695.00,1.0698
5694.00,1.0700
5693.00,1.0702
5692.00,1.0703
5691.00,1.0704
5690.00,1.0705
5689.00,1.0705
5688.00,1.0706
5687.00,1.0707
5686.00,1.0709
5685.00,1.0710
5684.00,1.0710
5683.00,1.0709
5682.00,1.0708
5681.00,1.0706
5680.00,1.0705
5679.00,1.0704
5678.00,1.0703
5677.00,1.0704
5676.00,1.0704
5675.00,1.0703
5674.00,1.0702
5673.00,1.0700
5672.00,1.0698
5671.00,1.0697
5670.00,1.0695
5669.00,1.0692
5668.00,1.0690
5667.00,1.0689
5666.00,1.0688
5665.00,1.0688
5664.00,1.0689
5663.00,1.0691
5662.00,1.0692
5661.00,1.0693
5660.00,1.0694
5659.00,1.0695
5658.00,1.0695
5657.00,1.0695
5656.00,1.0695
5655.00,1.0695
5654.00,1.0694
5653.00,1.0693
5652.00,1.0692
5651.00,1.0693
5650.00,1.0695
5649.00,1.0697
5648.00,1.0700
5647.00,1.0702
5646.00,1.0703
5645.00,1.0704
5644.00,1.0704
5643.00,1.0705
5642.00,1.0705
5641.00,1.0705
5640.00,1.0706
5639.00,1.0706
5638.00,1.0707
5637.00,1.0707
5636.00,1.0707
5635.00,1.0707
5634.00,1.0706
5633.00,1.0704
5632.00,1.0704
5631.00,1.0703
5630.00,1.0703
5629.00,1.0703
5628.00,1.0702
5627.00,1.0701
5626.00,1.0700
5625.00,1.0698
5624.00,1.0695
5623.00,1.0694
5622.00,1.0692
5621.00,1.0691
5620.00,1.0689
5619.00,1.0688
5618.00,1.0688
5617.00,1.0687
5616.00,1.0687
5615.00,1.0687
5614.00,1.0686
5613.00,1.0686
5612.00,1.0686
5611.00,1.0687
5610.00,1.0688
5609.00,1.0690
5608.00,1.0692
5607.00,1.0694
5606.00,1.0695
5605.00,1.0696
5604.00,1.0696
5603.00,1.0698
5602.00,1.0699
5601.00,1.0700
5600.00,1.0702
5599.00,1.0702
5598.00,1.0703
5597.00,1.0703
5596.00,1.0704
5595.00,1.0706
5594.00,1.0707
5593.00,1.0708
5592.00,1.0709
5591.00,1.0708
5590.00,1.0707
5589.00,1.0705
5588.00,1.0703
5587.00,1.0702
5586.00,1.0701
5585.00,1.0699
5584.00,1.0697
5583.00,1.0695
5582.00,1.0693
5581.00,1.0691
5580.00,1.0690
5579.00,1.0690
5578.00,1.0690
5577.00,1.0690
5576.00,1.0691
5575.00,1.0692
5574.00,1.0693
5573.00,1.0693
5572.00,1.0692
5571.00,1.0691
5570.00,1.0690
5569.00,1.0688
5568.00,1.0688
5567.00,1.0688
5566.00,1.0689
5565.00,1.0691
5564.00,1.0692
5563.00,1.0694
5562.00,1.0696
5561.00,1.0698
5560.00,1.0700
5559.00,1.0701
5558.00,1.0702
5557.00,1.0701
5556.00,1.0699
5555.00,1.0697
5554.00,1.0696
5553.00,1.0695
5552.00,1.0695
5551.00,1.0696
5550.00,1.0696
5549.00,1.0697
5548.00,1.0698
5547.00,1.0699
5546.00,1.0700
5545.00,1.0700
5544.00,1.0700
5543.00,1.0701
5542.00,1.0700
5541.00,1.0700
5540.00,1.0699
5539.00,1.0698
5538.00,1.0697
5537.00,1.0696
5536.00,1.0694
5535.00,1.0693
5534.00,1.0694
5533.00,1.0694
5532.00,1.0695
5531.00,1.0695
5530.00,1.0694
5529.00,1.0693
5528.00,1.0692
5527.00,1.0691
5526.00,1.0690
5525.00,1.0689
5524.00,1.0689
5523.00,1.0688
5522.00,1.0687
5521.00,1.0686
5520.00,1.0687
5519.00,1.0689
5518.00,1.0691
5517.00,1.0692
5516.00,1.0694
5515.00,1.0695
5514.00,1.0696
5513.00,1.0697
5512.00,1.0698
5511.00,1.0699
5510.00,1.0699
5509.00,1.0698
5508.00,1.0697
5507.00,1.0696
5506.00,1.0696
5505.00,1.0696
5504.00,1.0697
5503.00,1.0698
5502.00,1.0699
5501.00,1.0699
5500.00,1.0698
5499.00,1.0698
5498.00,1.0697
5497.00,1.0696
5496.00,1.0695
5495.00,1.0694
5494.00,1.0693
5493.00,1.0691
5492.00,1.0690
5491.00,1.0690
5490.00,1.0688
5489.00,1.0686
5488.00,1.0684
5487.00,1.0683
5486.00,1.0683
5485.00,1.0683
5484.00,1.0685
5483.00,1.0686
5482.00,1.0687
5481.00,1.0686
5480.00,1.0686
5479.00,1.0686
5478.00,1.0687
5477.00,1.0688
5476.00,1.0688
5475.00,1.0688
5474.00,1.0688
5473.00,1.0689
5472.00,1.0689
5471.00,1.0691
5470.00,1.0692
5469.00,1.0693
5468.00,1.0693
5467.00,1.0694
5466.00,1.0694
5465.00,1.0694
5464.00,1.0695
5463.00,1.0695
5462.00,1.0695
5461.00,1.0694
5460.00,1.0694
5459.00,1.0693
5458.00,1.0693
5457.00,1.0694
5456.00,1.0696
5455.00,1.0697
5454.00,1.0698
5453.00,1.0699
5452.00,1.0697
5451.00,1.0694
5450.00,1.0690
5449.00,1.0686
5448.00,1.0684
5447.00,1.0683
5446.00,1.0681
5445.00,1.0681
5444.00,1.0682
5443.00,1.0683
5442.00,1.0683
5441.00,1.0682
5440.00,1.0681
5439.00,1.0682
5438.00,1.0683
5437.00,1.0682
5436.00,1.0681
