Created as New Dataset,Sample 032 By Administrator Date Monday, February 10 2020
cm-1,A
5684.00,1.1461
5683.00,1.1461
5682.00,1.1460
5681.00,1.1460
5680.00,1.1460
5679.00,1.1461
5678.00,1.1461
5677.00,1.1460
5676.00,1.1459
5675.00,1.1459
5674.00,1.1458
5673.00,1.1457
5672.00,1.1457
5671.00,1.1458
5670.00,1.1459
5669.00,1.1460
5668.00,1.1461
5667.00,1.1461
5666.00,1.1461
5665.00,1.1459
5664.00,1.1458
5663.00,1.1458
5662.00,1.1457
5661.00,1.1458
5660.00,1.1459
5659.00,1.1460
5658.00,1.1462
5657.00,1.1462
5656.00,1.1462
5655.00,1.1461
5654.00,1.1460
5653.00,1.1460
5652.00,1.1459
5651.00,1.1459
5650.00,1.1460
5649.00,1.1460
5648.00,1.1461
5647.00,1.1462
5646.00,1.1462
5645.00,1.1462
5644.00,1.1462
5643.00,1.1462
5642.00,1.1461
5641.00,1.1461
5640.00,1.1461
5639.00,1.1461
5638.00,1.1461
5637.00,1.1461
5636.00,1.1461
5635.00,1.1461
5634.00,1.1461
5633.00,1.1460
5632.00,1.1460
5631.00,1.1460
5630.00,1.1459
5629.00,1.1459
5628.00,1.1459
5627.00,1.1460
5626.00,1.1460
5625.00,1.1461
5624.00,1.1461
5623.00,1.1461
5622.00,1.1461
5621.00,1.1460
5620.00,1.1460
5619.00,1.1460
5618.00,1.1459
5617.00,1.1459
5616.00,1.1459
5615.00,1.1459
5614.00,1.1460
5613.00,1.1460
5612.00,1.1460
5611.00,1.1460
5610.00,1.1460
5609.00,1.1459
5608.00,1.1459
5607.00,1.1459
5606.00,1.1459
5605.00,1.1458
5604.00,1.1458
5603.00,1.1458
5602.00,1.1458
5601.00,1.1458
5600.00,1.1459
5599.00,1.1460
5598.00,1.1460
5597.00,1.1460
5596.00,1.1460
5595.00,1.1459
5594.00,1.1458
5593.00,1.1456
5592.00,1.1455
5591.00,1.1455
5590.00,1.1455
5589.00,1.1456
5588.00,1.1456
5587.00,1.1457
5586.00,1.1458
5585.00,1.1458
5584.00,1.1458
5583.00,1.1458
5582.00,1.1458
5581.00,1.1458
5580.00,1.1457
5579.00,1.1457
5578.00,1.1455
5577.00,1.1454
5576.00,1.1453
5575.00,1.1452
5574.00,1.1453
5573.00,1.1453
5572.00,1.1455
5571.00,1.1457
5570.00,1.1458
5569.00,1.1459
5568.00,1.1459
5567.00,1.1458
5566.00,1.1458
5565.00,1.1456
5564.00,1.1455
5563.00,1.1455
5562.00,1.1455
5561.00,1.1455
5560.00,1.1455
5559.00,1.1455
5558.00,1.1455
5557.00,1.1455
5556.00,1.1456
5555.00,1.1457
5554.00,1.1457
5553.00,1.1456
5552.00,1.1456
5551.00,1.1457
5550.00,1.1457
5549.00,1.1457
5548.00,1.1456
5547.00,1.1456
5546.00,1.1455
5545.00,1.1453
5544.00,1.1452
5543.00,1.1452
5542.00,1.1453
5541.00,1.1454
5540.00,1.1455
5539.00,1.1456
5538.00,1.1456
5537.00,1.1456
5536.00,1.1456
5535.00,1.1455
5534.00,1.1455
5533.00,1.1454
5532.00,1.1454
5531.00,1.1454
5530.00,1.1455
5529.00,1.1454
5528.00,1.1454
5527.00,1.1454
5526.00,1.1454
5525.00,1.1454
5524.00,1.1454
5523.00,1.1454
5522.00,1.1454
5521.00,1.1454
5520.00,1.1455
5519.00,1.1455
5518.00,1.1455
5517.00,1.1454
5516.00,1.1454
5515.00,1.1453
5514.00,1.1453
5513.00,1.1452
5512.00,1.1452
5511.00,1.1452
5510.00,1.1452
5509.00,1.1452
5508.00,1.1451
5507.00,1.1451
5506.00,1.1452
5505.00,1.1452
5504.00,1.1452
5503.00,1.1453
5502.00,1.1453
5501.00,1.1453
5500.00,1.1453
5499.00,1.1453
5498.00,1.1453
5497.00,1.1453
5496.00,1.1452
5495.00,1.1451
5494.00,1.1450
5493.00,1.1449
5492.00,1.1449
5491.00,1.1450
5490.00,1.1450
5489.00,1.1451
5488.00,1.1451
5487.00,1.1451
5486.00,1.1451
5485.00,1.1452
5484.00,1.1452
5483.00,1.1452
5482.00,1.1452
5481.00,1.1451
5480.00,1.1449
5479.00,1.1449
5478.00,1.1449
5477.00,1.1449
5476.00,1.1449
5475.00,1.1450
5474.00,1.1450
5473.00,1.1450
5472.00,1.1449
5471.00,1.1448
5470.00,1.1447
5469.00,1.1446
5468.00,1.1446
5467.00,1.1445
